

Task: texture
Held out from train set:
3 shape classes: ['O', 'Z', 'U']
3 texture classes: ['Y', 'W', 'V']

Shape class-texture class pairings:

O-A: 5/5 (1.0) in val
O-B: 5/5 (1.0) in val
O-C: 5/5 (1.0) in val
O-D: 5/5 (1.0) in val
O-E: 5/5 (1.0) in val
O-F: 5/5 (1.0) in val
O-G: 5/5 (1.0) in val
O-H: 5/5 (1.0) in val
O-I: 5/5 (1.0) in val
O-J: 5/5 (1.0) in val
O-K: 5/5 (1.0) in val
O-L: 5/5 (1.0) in val
O-M: 5/5 (1.0) in val
O-N: 5/5 (1.0) in val
O-P: 5/5 (1.0) in val
O-Q: 5/5 (1.0) in val
O-R: 5/5 (1.0) in val
O-S: 5/5 (1.0) in val
O-T: 5/5 (1.0) in val
O-U: 5/5 (1.0) in val
O-X: 5/5 (1.0) in val
O-Z: 5/5 (1.0) in val
U-A: 5/5 (1.0) in val
U-B: 5/5 (1.0) in val
U-C: 5/5 (1.0) in val
U-D: 5/5 (1.0) in val
U-E: 5/5 (1.0) in val
U-F: 5/5 (1.0) in val
U-G: 5/5 (1.0) in val
U-H: 5/5 (1.0) in val
U-I: 5/5 (1.0) in val
U-J: 5/5 (1.0) in val
U-K: 5/5 (1.0) in val
U-L: 5/5 (1.0) in val
U-M: 5/5 (1.0) in val
U-N: 5/5 (1.0) in val
U-O: 5/5 (1.0) in val
U-P: 5/5 (1.0) in val
U-Q: 5/5 (1.0) in val
U-R: 5/5 (1.0) in val
U-S: 5/5 (1.0) in val
U-T: 5/5 (1.0) in val
U-X: 5/5 (1.0) in val
U-Z: 5/5 (1.0) in val
Z-A: 5/5 (1.0) in val
Z-B: 5/5 (1.0) in val
Z-C: 5/5 (1.0) in val
Z-D: 5/5 (1.0) in val
Z-E: 5/5 (1.0) in val
Z-F: 5/5 (1.0) in val
Z-G: 5/5 (1.0) in val
Z-H: 5/5 (1.0) in val
Z-I: 5/5 (1.0) in val
Z-J: 5/5 (1.0) in val
Z-K: 5/5 (1.0) in val
Z-L: 5/5 (1.0) in val
Z-M: 5/5 (1.0) in val
Z-N: 5/5 (1.0) in val
Z-O: 5/5 (1.0) in val
Z-P: 5/5 (1.0) in val
Z-Q: 5/5 (1.0) in val
Z-R: 5/5 (1.0) in val
Z-S: 5/5 (1.0) in val
Z-T: 5/5 (1.0) in val
Z-U: 5/5 (1.0) in val
Z-X: 5/5 (1.0) in val
A-B: 0/5 (0.0) in val
A-C: 0/5 (0.0) in val
A-D: 0/5 (0.0) in val
A-E: 0/5 (0.0) in val
A-F: 0/5 (0.0) in val
A-G: 0/5 (0.0) in val
A-H: 0/5 (0.0) in val
A-I: 0/5 (0.0) in val
A-J: 0/5 (0.0) in val
A-K: 0/5 (0.0) in val
A-L: 0/5 (0.0) in val
A-M: 0/5 (0.0) in val
A-N: 0/5 (0.0) in val
A-O: 0/5 (0.0) in val
A-P: 0/5 (0.0) in val
A-Q: 0/5 (0.0) in val
A-R: 0/5 (0.0) in val
A-S: 0/5 (0.0) in val
A-T: 0/5 (0.0) in val
A-U: 0/5 (0.0) in val
A-X: 0/5 (0.0) in val
A-Z: 0/5 (0.0) in val
B-A: 0/5 (0.0) in val
B-C: 0/5 (0.0) in val
B-D: 0/5 (0.0) in val
B-E: 0/5 (0.0) in val
B-F: 0/5 (0.0) in val
B-G: 0/5 (0.0) in val
B-H: 0/5 (0.0) in val
B-I: 0/5 (0.0) in val
B-J: 0/5 (0.0) in val
B-K: 0/5 (0.0) in val
B-L: 0/5 (0.0) in val
B-M: 0/5 (0.0) in val
B-N: 0/5 (0.0) in val
B-O: 0/5 (0.0) in val
B-P: 0/5 (0.0) in val
B-Q: 0/5 (0.0) in val
B-R: 0/5 (0.0) in val
B-S: 0/5 (0.0) in val
B-T: 0/5 (0.0) in val
B-U: 0/5 (0.0) in val
B-X: 0/5 (0.0) in val
B-Z: 0/5 (0.0) in val
C-A: 0/5 (0.0) in val
C-B: 0/5 (0.0) in val
C-D: 0/5 (0.0) in val
C-E: 0/5 (0.0) in val
C-F: 0/5 (0.0) in val
C-G: 0/5 (0.0) in val
C-H: 0/5 (0.0) in val
C-I: 0/5 (0.0) in val
C-J: 0/5 (0.0) in val
C-K: 0/5 (0.0) in val
C-L: 0/5 (0.0) in val
C-M: 0/5 (0.0) in val
C-N: 0/5 (0.0) in val
C-O: 0/5 (0.0) in val
C-P: 0/5 (0.0) in val
C-Q: 0/5 (0.0) in val
C-R: 0/5 (0.0) in val
C-S: 0/5 (0.0) in val
C-T: 0/5 (0.0) in val
C-U: 0/5 (0.0) in val
C-X: 0/5 (0.0) in val
C-Z: 0/5 (0.0) in val
D-A: 0/5 (0.0) in val
D-B: 0/5 (0.0) in val
D-C: 0/5 (0.0) in val
D-E: 0/5 (0.0) in val
D-F: 0/5 (0.0) in val
D-G: 0/5 (0.0) in val
D-H: 0/5 (0.0) in val
D-I: 0/5 (0.0) in val
D-J: 0/5 (0.0) in val
D-K: 0/5 (0.0) in val
D-L: 0/5 (0.0) in val
D-M: 0/5 (0.0) in val
D-N: 0/5 (0.0) in val
D-O: 0/5 (0.0) in val
D-P: 0/5 (0.0) in val
D-Q: 0/5 (0.0) in val
D-R: 0/5 (0.0) in val
D-S: 0/5 (0.0) in val
D-T: 0/5 (0.0) in val
D-U: 0/5 (0.0) in val
D-X: 0/5 (0.0) in val
D-Z: 0/5 (0.0) in val
E-A: 0/5 (0.0) in val
E-B: 0/5 (0.0) in val
E-C: 0/5 (0.0) in val
E-D: 0/5 (0.0) in val
E-F: 0/5 (0.0) in val
E-G: 0/5 (0.0) in val
E-H: 0/5 (0.0) in val
E-I: 0/5 (0.0) in val
E-J: 0/5 (0.0) in val
E-K: 0/5 (0.0) in val
E-L: 0/5 (0.0) in val
E-M: 0/5 (0.0) in val
E-N: 0/5 (0.0) in val
E-O: 0/5 (0.0) in val
E-P: 0/5 (0.0) in val
E-Q: 0/5 (0.0) in val
E-R: 0/5 (0.0) in val
E-S: 0/5 (0.0) in val
E-T: 0/5 (0.0) in val
E-U: 0/5 (0.0) in val
E-X: 0/5 (0.0) in val
E-Z: 0/5 (0.0) in val
F-A: 0/5 (0.0) in val
F-B: 0/5 (0.0) in val
F-C: 0/5 (0.0) in val
F-D: 0/5 (0.0) in val
F-E: 0/5 (0.0) in val
F-G: 0/5 (0.0) in val
F-H: 0/5 (0.0) in val
F-I: 0/5 (0.0) in val
F-J: 0/5 (0.0) in val
F-K: 0/5 (0.0) in val
F-L: 0/5 (0.0) in val
F-M: 0/5 (0.0) in val
F-N: 0/5 (0.0) in val
F-O: 0/5 (0.0) in val
F-P: 0/5 (0.0) in val
F-Q: 0/5 (0.0) in val
F-R: 0/5 (0.0) in val
F-S: 0/5 (0.0) in val
F-T: 0/5 (0.0) in val
F-U: 0/5 (0.0) in val
F-X: 0/5 (0.0) in val
F-Z: 0/5 (0.0) in val
G-A: 0/5 (0.0) in val
G-B: 0/5 (0.0) in val
G-C: 0/5 (0.0) in val
G-D: 0/5 (0.0) in val
G-E: 0/5 (0.0) in val
G-F: 0/5 (0.0) in val
G-H: 0/5 (0.0) in val
G-I: 0/5 (0.0) in val
G-J: 0/5 (0.0) in val
G-K: 0/5 (0.0) in val
G-L: 0/5 (0.0) in val
G-M: 0/5 (0.0) in val
G-N: 0/5 (0.0) in val
G-O: 0/5 (0.0) in val
G-P: 0/5 (0.0) in val
G-Q: 0/5 (0.0) in val
G-R: 0/5 (0.0) in val
G-S: 0/5 (0.0) in val
G-T: 0/5 (0.0) in val
G-U: 0/5 (0.0) in val
G-X: 0/5 (0.0) in val
G-Z: 0/5 (0.0) in val
H-A: 0/5 (0.0) in val
H-B: 0/5 (0.0) in val
H-C: 0/5 (0.0) in val
H-D: 0/5 (0.0) in val
H-E: 0/5 (0.0) in val
H-F: 0/5 (0.0) in val
H-G: 0/5 (0.0) in val
H-I: 0/5 (0.0) in val
H-J: 0/5 (0.0) in val
H-K: 0/5 (0.0) in val
H-L: 0/5 (0.0) in val
H-M: 0/5 (0.0) in val
H-N: 0/5 (0.0) in val
H-O: 0/5 (0.0) in val
H-P: 0/5 (0.0) in val
H-Q: 0/5 (0.0) in val
H-R: 0/5 (0.0) in val
H-S: 0/5 (0.0) in val
H-T: 0/5 (0.0) in val
H-U: 0/5 (0.0) in val
H-X: 0/5 (0.0) in val
H-Z: 0/5 (0.0) in val
I-A: 0/5 (0.0) in val
I-B: 0/5 (0.0) in val
I-C: 0/5 (0.0) in val
I-D: 0/5 (0.0) in val
I-E: 0/5 (0.0) in val
I-F: 0/5 (0.0) in val
I-G: 0/5 (0.0) in val
I-H: 0/5 (0.0) in val
I-J: 0/5 (0.0) in val
I-K: 0/5 (0.0) in val
I-L: 0/5 (0.0) in val
I-M: 0/5 (0.0) in val
I-N: 0/5 (0.0) in val
I-O: 0/5 (0.0) in val
I-P: 0/5 (0.0) in val
I-Q: 0/5 (0.0) in val
I-R: 0/5 (0.0) in val
I-S: 0/5 (0.0) in val
I-T: 0/5 (0.0) in val
I-U: 0/5 (0.0) in val
I-X: 0/5 (0.0) in val
I-Z: 0/5 (0.0) in val
J-A: 0/5 (0.0) in val
J-B: 0/5 (0.0) in val
J-C: 0/5 (0.0) in val
J-D: 0/5 (0.0) in val
J-E: 0/5 (0.0) in val
J-F: 0/5 (0.0) in val
J-G: 0/5 (0.0) in val
J-H: 0/5 (0.0) in val
J-I: 0/5 (0.0) in val
J-K: 0/5 (0.0) in val
J-L: 0/5 (0.0) in val
J-M: 0/5 (0.0) in val
J-N: 0/5 (0.0) in val
J-O: 0/5 (0.0) in val
J-P: 0/5 (0.0) in val
J-Q: 0/5 (0.0) in val
J-R: 0/5 (0.0) in val
J-S: 0/5 (0.0) in val
J-T: 0/5 (0.0) in val
J-U: 0/5 (0.0) in val
J-X: 0/5 (0.0) in val
J-Z: 0/5 (0.0) in val
K-A: 0/5 (0.0) in val
K-B: 0/5 (0.0) in val
K-C: 0/5 (0.0) in val
K-D: 0/5 (0.0) in val
K-E: 0/5 (0.0) in val
K-F: 0/5 (0.0) in val
K-G: 0/5 (0.0) in val
K-H: 0/5 (0.0) in val
K-I: 0/5 (0.0) in val
K-J: 0/5 (0.0) in val
K-L: 0/5 (0.0) in val
K-M: 0/5 (0.0) in val
K-N: 0/5 (0.0) in val
K-O: 0/5 (0.0) in val
K-P: 0/5 (0.0) in val
K-Q: 0/5 (0.0) in val
K-R: 0/5 (0.0) in val
K-S: 0/5 (0.0) in val
K-T: 0/5 (0.0) in val
K-U: 0/5 (0.0) in val
K-X: 0/5 (0.0) in val
K-Z: 0/5 (0.0) in val
L-A: 0/5 (0.0) in val
L-B: 0/5 (0.0) in val
L-C: 0/5 (0.0) in val
L-D: 0/5 (0.0) in val
L-E: 0/5 (0.0) in val
L-F: 0/5 (0.0) in val
L-G: 0/5 (0.0) in val
L-H: 0/5 (0.0) in val
