

Task: shape
Held out from train set:
3 shape classes: ['J', 'M', 'Z']
3 texture classes: ['P', 'O', 'L']

Shape class-texture class pairings:

A-L: 5/5 (1.0) in val
A-O: 5/5 (1.0) in val
A-P: 5/5 (1.0) in val
B-L: 5/5 (1.0) in val
B-O: 5/5 (1.0) in val
B-P: 5/5 (1.0) in val
C-L: 5/5 (1.0) in val
C-O: 5/5 (1.0) in val
C-P: 5/5 (1.0) in val
D-L: 5/5 (1.0) in val
D-O: 5/5 (1.0) in val
D-P: 5/5 (1.0) in val
E-L: 5/5 (1.0) in val
E-O: 5/5 (1.0) in val
E-P: 5/5 (1.0) in val
F-L: 5/5 (1.0) in val
F-O: 5/5 (1.0) in val
F-P: 5/5 (1.0) in val
G-L: 5/5 (1.0) in val
G-O: 5/5 (1.0) in val
G-P: 5/5 (1.0) in val
H-L: 5/5 (1.0) in val
H-O: 5/5 (1.0) in val
H-P: 5/5 (1.0) in val
I-L: 5/5 (1.0) in val
I-O: 5/5 (1.0) in val
I-P: 5/5 (1.0) in val
K-L: 5/5 (1.0) in val
K-O: 5/5 (1.0) in val
K-P: 5/5 (1.0) in val
L-O: 5/5 (1.0) in val
L-P: 5/5 (1.0) in val
N-L: 5/5 (1.0) in val
N-O: 5/5 (1.0) in val
N-P: 5/5 (1.0) in val
O-L: 5/5 (1.0) in val
O-P: 5/5 (1.0) in val
P-L: 5/5 (1.0) in val
P-O: 5/5 (1.0) in val
Q-L: 5/5 (1.0) in val
Q-O: 5/5 (1.0) in val
Q-P: 5/5 (1.0) in val
R-L: 5/5 (1.0) in val
R-O: 5/5 (1.0) in val
R-P: 5/5 (1.0) in val
S-L: 5/5 (1.0) in val
S-O: 5/5 (1.0) in val
S-P: 5/5 (1.0) in val
T-L: 5/5 (1.0) in val
T-O: 5/5 (1.0) in val
T-P: 5/5 (1.0) in val
U-L: 5/5 (1.0) in val
U-O: 5/5 (1.0) in val
U-P: 5/5 (1.0) in val
V-L: 5/5 (1.0) in val
V-O: 5/5 (1.0) in val
V-P: 5/5 (1.0) in val
W-L: 5/5 (1.0) in val
W-O: 5/5 (1.0) in val
W-P: 5/5 (1.0) in val
X-L: 5/5 (1.0) in val
X-O: 5/5 (1.0) in val
X-P: 5/5 (1.0) in val
Y-L: 5/5 (1.0) in val
Y-O: 5/5 (1.0) in val
Y-P: 5/5 (1.0) in val
A-B: 0/5 (0.0) in val
A-C: 0/5 (0.0) in val
A-D: 0/5 (0.0) in val
A-E: 0/5 (0.0) in val
A-F: 0/5 (0.0) in val
A-G: 0/5 (0.0) in val
A-H: 0/5 (0.0) in val
A-I: 0/5 (0.0) in val
A-J: 0/5 (0.0) in val
A-K: 0/5 (0.0) in val
A-M: 0/5 (0.0) in val
A-N: 0/5 (0.0) in val
A-Q: 0/5 (0.0) in val
A-R: 0/5 (0.0) in val
A-S: 0/5 (0.0) in val
A-T: 0/5 (0.0) in val
A-U: 0/5 (0.0) in val
A-V: 0/5 (0.0) in val
A-W: 0/5 (0.0) in val
A-X: 0/5 (0.0) in val
A-Y: 0/5 (0.0) in val
A-Z: 0/5 (0.0) in val
B-A: 0/5 (0.0) in val
B-C: 0/5 (0.0) in val
B-D: 0/5 (0.0) in val
B-E: 0/5 (0.0) in val
B-F: 0/5 (0.0) in val
B-G: 0/5 (0.0) in val
B-H: 0/5 (0.0) in val
B-I: 0/5 (0.0) in val
B-J: 0/5 (0.0) in val
B-K: 0/5 (0.0) in val
B-M: 0/5 (0.0) in val
B-N: 0/5 (0.0) in val
B-Q: 0/5 (0.0) in val
B-R: 0/5 (0.0) in val
B-S: 0/5 (0.0) in val
B-T: 0/5 (0.0) in val
B-U: 0/5 (0.0) in val
B-V: 0/5 (0.0) in val
B-W: 0/5 (0.0) in val
B-X: 0/5 (0.0) in val
B-Y: 0/5 (0.0) in val
B-Z: 0/5 (0.0) in val
C-A: 0/5 (0.0) in val
C-B: 0/5 (0.0) in val
C-D: 0/5 (0.0) in val
C-E: 0/5 (0.0) in val
C-F: 0/5 (0.0) in val
C-G: 0/5 (0.0) in val
C-H: 0/5 (0.0) in val
C-I: 0/5 (0.0) in val
C-J: 0/5 (0.0) in val
C-K: 0/5 (0.0) in val
C-M: 0/5 (0.0) in val
C-N: 0/5 (0.0) in val
C-Q: 0/5 (0.0) in val
C-R: 0/5 (0.0) in val
C-S: 0/5 (0.0) in val
C-T: 0/5 (0.0) in val
C-U: 0/5 (0.0) in val
C-V: 0/5 (0.0) in val
C-W: 0/5 (0.0) in val
C-X: 0/5 (0.0) in val
C-Y: 0/5 (0.0) in val
C-Z: 0/5 (0.0) in val
D-A: 0/5 (0.0) in val
D-B: 0/5 (0.0) in val
D-C: 0/5 (0.0) in val
D-E: 0/5 (0.0) in val
D-F: 0/5 (0.0) in val
D-G: 0/5 (0.0) in val
D-H: 0/5 (0.0) in val
D-I: 0/5 (0.0) in val
D-J: 0/5 (0.0) in val
D-K: 0/5 (0.0) in val
D-M: 0/5 (0.0) in val
D-N: 0/5 (0.0) in val
D-Q: 0/5 (0.0) in val
D-R: 0/5 (0.0) in val
D-S: 0/5 (0.0) in val
D-T: 0/5 (0.0) in val
D-U: 0/5 (0.0) in val
D-V: 0/5 (0.0) in val
D-W: 0/5 (0.0) in val
D-X: 0/5 (0.0) in val
D-Y: 0/5 (0.0) in val
D-Z: 0/5 (0.0) in val
E-A: 0/5 (0.0) in val
E-B: 0/5 (0.0) in val
E-C: 0/5 (0.0) in val
E-D: 0/5 (0.0) in val
E-F: 0/5 (0.0) in val
E-G: 0/5 (0.0) in val
E-H: 0/5 (0.0) in val
E-I: 0/5 (0.0) in val
E-J: 0/5 (0.0) in val
E-K: 0/5 (0.0) in val
E-M: 0/5 (0.0) in val
E-N: 0/5 (0.0) in val
E-Q: 0/5 (0.0) in val
E-R: 0/5 (0.0) in val
E-S: 0/5 (0.0) in val
E-T: 0/5 (0.0) in val
E-U: 0/5 (0.0) in val
E-V: 0/5 (0.0) in val
E-W: 0/5 (0.0) in val
E-X: 0/5 (0.0) in val
E-Y: 0/5 (0.0) in val
E-Z: 0/5 (0.0) in val
F-A: 0/5 (0.0) in val
F-B: 0/5 (0.0) in val
F-C: 0/5 (0.0) in val
F-D: 0/5 (0.0) in val
F-E: 0/5 (0.0) in val
F-G: 0/5 (0.0) in val
F-H: 0/5 (0.0) in val
F-I: 0/5 (0.0) in val
F-J: 0/5 (0.0) in val
F-K: 0/5 (0.0) in val
F-M: 0/5 (0.0) in val
F-N: 0/5 (0.0) in val
F-Q: 0/5 (0.0) in val
F-R: 0/5 (0.0) in val
F-S: 0/5 (0.0) in val
F-T: 0/5 (0.0) in val
F-U: 0/5 (0.0) in val
F-V: 0/5 (0.0) in val
F-W: 0/5 (0.0) in val
F-X: 0/5 (0.0) in val
F-Y: 0/5 (0.0) in val
F-Z: 0/5 (0.0) in val
G-A: 0/5 (0.0) in val
G-B: 0/5 (0.0) in val
G-C: 0/5 (0.0) in val
G-D: 0/5 (0.0) in val
G-E: 0/5 (0.0) in val
G-F: 0/5 (0.0) in val
G-H: 0/5 (0.0) in val
G-I: 0/5 (0.0) in val
G-J: 0/5 (0.0) in val
G-K: 0/5 (0.0) in val
G-M: 0/5 (0.0) in val
G-N: 0/5 (0.0) in val
G-Q: 0/5 (0.0) in val
G-R: 0/5 (0.0) in val
G-S: 0/5 (0.0) in val
G-T: 0/5 (0.0) in val
G-U: 0/5 (0.0) in val
G-V: 0/5 (0.0) in val
G-W: 0/5 (0.0) in val
G-X: 0/5 (0.0) in val
G-Y: 0/5 (0.0) in val
G-Z: 0/5 (0.0) in val
H-A: 0/5 (0.0) in val
H-B: 0/5 (0.0) in val
H-C: 0/5 (0.0) in val
H-D: 0/5 (0.0) in val
